Time,Noisy Signal,Clean Signal
0.0499,2150,2048
0.0999,1396,2048
0.1499,2078,2150
0.1999,2220,2251
0.2499,2351,2349
0.2999,1410,2442
0.3499,2171,2529
0.3999,1609,2608
0.4499,2867,2679
0.4999,2715,2739
0.5499,2676,2789
0.5999,2819,2826
0.6499,3851,2852
0.6999,2628,2865
0.7499,3062,2865
0.7999,1211,2852
0.8499,2803,2826
0.8999,2962,2789
0.9499,2683,2739
0.9999,2306,2679
1.0499,1953,2608
1.0999,2782,2529
1.1499,2472,2442
1.1999,2379,2349
1.2499,2091,2251
1.2999,2832,2150
1.3499,2180,2048
1.3999,2464,1945
1.4499,1272,1844
1.4999,1005,1746
1.5499,1516,1653
1.5999,1224,1566
1.6499,1862,1487
1.6999,3383,1416
1.7499,1602,1356
1.7999,638,1306
1.8499,1251,1269
1.8999,1468,1243
1.9499,340,1230
1.9999,1381,1230
2.0499,1002,1243
2.0999,1312,1269
2.1499,1290,1306
2.1999,1317,1356
2.2499,1665,1416
2.2999,1569,1487
2.3499,1812,1566
2.3999,2574,1653
2.4499,1500,1746
2.4999,1985,1844
2.5499,1436,1945
2.5999,2056,2047
2.6499,1961,2150
2.6999,2247,2251
2.7499,2526,2349
2.7999,3073,2442
2.8499,2887,2529
2.8999,2553,2608
2.9499,3098,2679
2.9999,2628,2739
3.0499,3324,2789
3.0999,3154,2826
3.1499,2843,2852
3.1999,3054,2865
3.2499,3394,2865
3.2999,2328,2852
3.3499,2745,2826
3.3999,3205,2789
3.4499,984,2739
3.4999,2594,2679
3.5499,2348,2608
3.5999,2366,2529
3.6499,2872,2442
3.6999,2567,2349
3.7499,2400,2251
3.7999,2262,2150
3.8499,2162,2048
3.8999,2593,1945
3.9499,2023,1844
3.9999,1266,1746
4.0499,1686,1653
4.0999,1233,1566
4.1499,1944,1487
4.1999,1817,1416
4.2499,0,1356
4.2999,1472,1306
4.3499,2079,1269
4.3999,1477,1243
4.4499,1427,1230
4.4999,715,1230
4.5499,1029,1243
4.5999,2390,1269
4.6499,1719,1306
4.6999,1575,1356
4.7499,1017,1416
4.7999,1392,1487
4.8499,1289,1566
4.8999,1185,1653
4.9499,2018,1746
4.9999,2111,1844
5.0499,1742,1945
5.0999,2003,2047
5.1499,1975,2150
5.1999,2603,2251
