Time Step,SNR Improvement
0,-4.069734749167088
1,-4.489171288169217
2,-4.893669347405597
3,-5.282175475269689
4,-5.655729212841576
5,-6.015297239836265
6,-6.361774601458025
7,-6.695987799119755
8,-7.01869887550508
9,-7.330609945818361
10,-7.632367835402967
11,-7.924568618778524
12,-8.207761942147025
13,-8.482455067157257
14,-8.749116609020493
15,-9.008179964015804
16,-9.260046434654797
17,-9.505088068348563
18,-9.743650229347631
19,-9.976053925337084
20,-10.202597910237994
21,-10.423560584068131
22,-10.639201709524029
23,-10.849763963506287
24,-11.055474340274465
25,-11.256545421383624
26,-11.45317652607902
27,-11.645554754440893
28,-11.82610339720045
29,-11.973092000559324
30,-12.081207674125558
31,-12.18624108218546
32,-12.291188218496776
33,-12.395996008397749
34,-12.500615307969177
35,-12.605000695465082
36,-12.709110267563796
37,-12.80451219899025
38,-12.873084481827105
39,-12.925831575819707
40,-12.925831575819707
41,-12.925831575819707
42,-12.925831575819707
43,-12.925831575819707
44,-12.925831575819707
45,-12.925831575819707
46,-12.925831575819707
47,-12.925831575819707
48,-12.925831575819707
49,-12.925831575819707
50,-12.925831575819707
51,-12.925831575819707
52,-12.925831575819707
53,-12.925831575819707
54,-12.925831575819707
55,-12.925831575819707
56,-12.925831575819707
57,-12.925831575819707
58,-12.925831575819707
59,-12.925831575819707
60,-12.925831575819707
61,-12.925831575819707
62,-12.925831575819707
63,-12.925831575819707
64,-12.925831575819707
65,-12.925831575819707
66,-12.925831575819707
67,-12.925831575819707
68,-12.925831575819707
69,-12.925831575819707
70,-12.925831575819707
71,-12.925831575819707
72,-12.925831575819707
73,-12.925831575819707
74,-12.925831575819707
75,-12.925831575819707
76,-12.925831575819707
77,-12.925831575819707
78,-12.925831575819707
79,-12.925831575819707
80,-12.925831575819707
81,-12.925831575819707
82,-12.925831575819707
83,-12.925831575819707
84,-12.925831575819707
85,-12.925831575819707
86,-12.925831575819707
87,-12.925831575819707
88,-12.925831575819707
89,-12.925831575819707
90,-12.925831575819707
91,-12.925831575819707
92,-12.925831575819707
93,-12.925831575819707
94,-12.925831575819707
95,-12.925831575819707
96,-12.925831575819707
97,-12.925831575819707
98,-12.925831575819707
